"codice_tipologia","provincia","regione","soggetto","formato","prodotto","produttore"
"L34","VI","Veneto","Previdenza e assistenza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L7","TE","Abruzzo","Bilancio","DB2 su AS400","???","Iasi s.rl."
"L7","CA","Sardegna","Salute","Sqlserver","3MPARM","3M"
"L8","PR","Emilia Romagna","Salute","Mysql","4C","CSAmed"
"L8","PZ","Basilicata","Gestione del personale","Dbms oracle","770","Data Processing Spa"
"L7","SV","Liguria","Salute","Oracle","A50","ASL2"
"L7","BO","Emilia Romagna","Salute","Dbms oracle","AAR","Data processing"
"L8","BG","Lombardia","Salute","Ms access","Abamix","HPG23"
"L7","SV","Liguria","Salute","Oracle","ACC","ASL2"
"L7","AQ","Abruzzo","Salute","RDBMS DB2/400","ACCETTAQ","ASL 1"
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
"L7","MI","Lombardia","Salute","Dbms mysql","AcquaFesca","ASL Milano 2"
"L34","PR","Emilia Romagna","Lavoro","Sql","Acquisitore in tempo reale","Ragni sistemi"
"L7","TR","Umbria","Salute","Mysql","Acquisizione DURC","Goodmen S.r.l."
"L7","VA","Lombardia","Salute","Sql server","AdCweb","SISTEMAINTRANET.COM DI LUCA MORISI E ANDREA PAGANELLA S.N.C."
"L7","CR","Lombardia","Salute","Sql server","ADCWeb","Sistemaintranet.com Snc - Porto Mantovano (MN)"
"L34","UD","Friuli Venezia Giulia","Lavoro","Sql server","ADDESTRAMENTI","Nord Est Systems S.r.l."
"L34","VE","Veneto","Bilancio","Microsoft sql server","AdHoc","SoftwareUno Ins"
"L7","VE","Veneto","Salute","Microsft SQL","ADI","Dedalus"
"L7","LO","Lombardia","Salute","Dbms oracle","ADIWEB","Tekne"
"L7","PI","Toscana","Personale","Dbms oracle","ADPERSONAM","Dedalus"
"L7","LU","Toscana","Personale","Dbms oracle","ADPERSONAM","Dedalus"
"L8","BA","Puglia","Lavoro","Oracle 11g","ADS paghe","ADS - Bologna"
"L7","AL","Piemonte","Salute","Ms-sql","ADT","Dedalus"
"L7","TP","Sicilia","Salute","Oracle","ADT","Dedalus spa"
"L8","BO","Emilia Romagna","Salute","Oracle","ADT","Engennering"
"L7","LU","Toscana","Salute","Dbms oracle","ADT","Engineering"
"L7","LU","Toscana","Salute","Dbms oracle","ADT","Engineering"
"L7","VE","Veneto","Salute","Oracle","ADT","Insiel mercato"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","DICOM","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L7","BI","Piemonte","Salute","Oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L7","PI","Toscana","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","MI","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","VA","Lombardia","Salute","Dbms oracle","AdtWeb","Engineering"
"L8","CR","Lombardia","Salute","Dbms oracle","ADTWeb","Enginnering.IT spa"
"L7","RO","Veneto","Salute","Dbms oracle","ADTweb","Insiel mercato"
"L8","MI","Lombardia","Salute","Dbms oracle","ADTWeb","Santer - Reply S.p.A."
"L7","BO","Emilia Romagna","Salute","Dbms oracle","ADT Web","Data processing"
"L7","PG","Umbria","Salute","Oracle","AGFA elefante","Agfa"
"L8","PZ","Basilicata","Salute","Dbms mysql","AIRO","Regione Basilicata"
"L7","PZ","Basilicata","Salute","Dbms mysql","AIRO","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","AIRO","Regione Basilicata"
"L8","TR","Umbria","Salute","Sql server","Ais Web","Az.Osp. S.Maria di Terni"
"L34","MO","Emilia Romagna","Altro: segreteria","Dbms oracle","Akropolis","Datamanagement"
"L8","BO","Emilia Romagna","Lavoro","Mysql","Albo collaboratori","Cup2000"
"L7","BO","Emilia Romagna","Bilancio","Web","Albo fornitori FARE","CSAmed"
"L7","VE","Veneto","Comunicazioni","Oracle","Albo pretorio","Dedagroup"
"L7","TR","Umbria","Salute","Mysql","Albo pretorio","Sistematica S.p.a."
"L34","RE","Emilia Romagna","Sicurezza","Sql","ALFAGEST","Lema Informatica Srl"
"L7","MI","Lombardia","Altro: amministrazione","Dbms mysql","Alfresco NordCom","Alfresco Software Inc."
"L8","PV","Lombardia","Salute","Dbms oracle","Aliseo","Windex"
"L8","GE","Liguria","Lavoro","Dbms oracle","Aliseo","Windex srl"
"L8","GE","Liguria","Bilancio","Dbms oracle","Aliseo","Windex srl"
"L8","CR","Lombardia","Salute","Dbms oracle","Aliseo","Windex srl"
"L7","MN","Lombardia","Lavoro","Dbms oracle","Aliseo","Windex s.r.l."
"L8","MI","Lombardia","Altro: gestione Risorse Umane","Dbms oracle","Aliseo - piattaforma integrata per la gestione delle Risorse Umane","Windex di Verona"
"L8","CO","Lombardia","Salute","Dbms mysql","Allergo_Web 1.0","CED Azienda Ospedaliera Sant'Anna"
"L7","FE","Emilia Romagna","Salute","ORACLE10","ALP","Delta informatica"
"L7","BS","Lombardia","Salute","Dbms oracle","AMBNET","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","AMBNET","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","AMBNET","Hitech S.p.A."
"L8","MN","Lombardia","Salute","Dbms oracle","Ambulatori","Data processing"
"L8","MI","Lombardia","Salute","Dbms oracle","AMBweb","Engineering"
"L8","MI","Lombardia","Salute","Dbms oracle","AMC","Engineering"
"L7","TR","Umbria","Salute","Microsoft sql server","Amiantus","Università degli Studi di Perugia"
"L8","TR","Umbria","Salute","Lotus","Amico workflow","Sistematica"
"L7","VR","Veneto","Salute","Database regionale. Non si conosce il formato","Anagrafe Regionale","Engineering ingegneria informatica s.p.a."
"L8","PR","Emilia Romagna","Salute","Oracle","Anagrafe Pazienti Centralizzata","Gruppo Finmatica (ADS - Data Processing)"
"L7","RO","Veneto","Salute","Dbms oracle","Anagrafe Sanitaria","Engeenering"
"L7","VE","Veneto","Salute","Oracle","Anagrafe UNICA","Insiel mercato"
"L7","BZ","Trentino Alto Adige","Salute","Dbms oracle","ANAGRAFICA","EDP"
"L34","PD","Veneto","Lavoro","Firebird","ANAGRAFICA","Pasqualini Davide"
"L7","MI","Lombardia","Salute","Oracle","Analisi 5.0","Polisystem"
"L7","MN","Lombardia","Salute","Dbms oracle","Analisi 5.1","POLISYSTEM INFORMATICA S.r.l."
"L34","MO","Emilia Romagna","Bilancio","Firebird","ANALITICA","Cba informatica s.r.l."
"L7","BO","Emilia Romagna","Salute","Dbms oracle","APC","Data processing"
"L7","SS","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","CI","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","OG","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","VS","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","CA","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","OR","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","OT","Sardegna","Salute","Dbms oracle","Anonimizzatore","Santer Reply"
"L7","SV","Liguria","Salute","Oracle","ANPA","Engineering"
"L7","MI","Lombardia","Salute","Sql","Antiinfluenzale","ASL Milano"
"L7","CN","Piemonte","Salute","Oracle","APC","Ads"
"L8","MN","Lombardia","Salute","Dbms oracle","APC","Data processing"
"L7","PI","Toscana","Salute","Dbms oracle","APC","Data processing"
"L34","VI","Veneto","Previdenza e assistenza","POSTRESQL","APP-ASSISTANT","Advenias s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","POSTRESQL","APP-ASSISTANT","Advenias s.r.l."
"L34","RE","Emilia Romagna","Previdenza e assistenza","POSTRESQL","APP-ASSISTANT","Advenias s.r.l."
"L34","RE","Emilia Romagna","Previdenza e assistenza","POSTRESQL","APP-ASSISTANT","Advenias s.r.l."
"L7","CA","Sardegna","Salute","Dbms oracle","APUS","NOEMALIFE/SERVICELIFE"
"L7","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","ARCA","Regione Basilicata"
"L34","VE","Veneto","Salute","MICROSOFT ACCESS 97 / 2000","Arca per Windows","Selesta ingegneria SPA"
"L34","RE","Emilia Romagna","Altro: gestione personale","Microsoft sql server","Arca Sql","Selesta ingegneria SPA"
"L7","SV","Liguria","Salute","Oracle","ARCH","ASL2"
"L34","PD","Veneto","Lavoro","Sql","ARCHIDOC","SIAV S.r.l."
"L7","CR","Lombardia","Comunicazioni","Oracle","ARCHIFLOW","Ditta SIAV Spa - Rubano (PD)"
"L8","CR","Lombardia","Salute","Dbms oracle","Archiflow","Siav"
"L7","LO","Lombardia","Documentale","Raman","Archiflow","Siav"
"L7","BS","Lombardia","Salute","Dbms oracle","Archiflow","Siav"
"L7","BZ","Trentino Alto Adige","Salute","Dbms oracle","Archiflow","Siav"
"L7","AQ","Abruzzo","Trasparenza","RDMS Microsoft SQLServer","Archiflow","Siav"
"L8","BG","Lombardia","Salute","Dbms oracle","Archiflow","SIAV SISTEMI DIGITALI Spa"
"L8","GE","Liguria","Comunicazioni","Velocity Object DB","Archiflow","Siav s.p.a."
"L7","BS","Lombardia","Salute","Dbms oracle","ArchiflowWEB","Siav s.p.a."
"L7","BS","Lombardia","Salute","Dbms oracle","ArchiflowWEB","Siav s.p.a."
"L7","RO","Veneto","Salute","Dbms oracle","Archiviazione","Insiel mercato"
"L8","PR","Emilia Romagna","Salute","Sql server","Archivio Cartelle Cliniche","Az.Ospedaliero-universitaria Parma"
"L7","PG","Umbria","Salute","Mysql","Archivio digitale Cartelle Cliniche","Azienda USL Umbria 1"
"L7","VA","Lombardia","Salute","Sql server","Archivio Pazienti Fragili","ASL Varese"
"L8","BO","Emilia Romagna","Salute","Oracle","AREAS","Engennering"
"L7","AO","Valle D'Aosta","Lavoro","Oracle","Areas","Engineering"
"L7","TP","Sicilia","Salute","Oracle","AREAS","Engineering Ingegneria Informatica spa"
"L8","PR","Emilia Romagna","Salute","Oracle","Areas - Gestione Reparto","Engineering ingegneria informatica s.p.a."
"L8","RC","Calabria","Salute","Dbms oracle","AREAS Sistema Informativo Ospedaliero","Engineering ingegneria informatica s.p.a."
"L7","AQ","Abruzzo","Salute","RDBMS Sybase SQL Anywhere","Argos","Dedalus"
"L8","PZ","Basilicata","Salute","DBMS Sql","ARIA","Varian Medical System"
"L7","MI","Lombardia","Salute","Sql","Arianna","Dedalus"
"L7","BO","Emilia Romagna","Salute","Sqlserver","Arianna","Dedalus – Eurosoft"
"L7","AL","Piemonte","Salute","Ms-sql","AriannaCUP","Dedalus"
"L7","AL","Piemonte","Salute","Ms-sql","AriannaCUP","Dedalus"
"L7","PT","Toscana","Salute","Sqlserver","Arianna PS","Dedalus"
"L7","OG","Sardegna","Salute","DBMS Sql Server 2005","Arianna Screening","Dedalus"
"L7","OT","Sardegna","Salute","RDBMS Microsoft SQL Server","Arianna Screening","Dedalus"
"L7","OG","Sardegna","Salute","DBMS Sql Server 2005","Arianna Screening","Dedalus"
"L7","VS","Sardegna","Salute","RDBMS Microsoft SQL Server","Arianna Screening","Dedalus"
"L7","OG","Sardegna","Salute","DBMS Sql Server 2005","Arianna Screening","Dedalus"
"L7","CA","Sardegna","Salute","RDBMS Microsoft SQL Server","Arianna Screening","Dedalus"
"L7","SS","Sardegna","Salute","RDBMS Microsoft SQL Server","Arianna Screening","Dedalus"
"L7","CA","Sardegna","Salute","Dbms oracle","Armonia","Dedalus"
"L7","AL","Piemonte","Salute","Dbms oracle","Armonia","Dedalus"
"L7","VR","Veneto","Salute","Oracle","Armonia","Dedalus"
"L7","BS","Lombardia","Salute","Dbms oracle","Armonia","Dedalus"
"L8","MI","Lombardia","Salute","Dbms oracle","Armonia","Dedalus"
"L7","BS","Lombardia","Salute","Dbms oracle","Armonia","Dedalus"
"L8","MI","Lombardia","Salute","Dbms oracle","Armonia","Dedalus"
"L8","MN","Lombardia","Salute","Dbms oracle","Armonia","Dedalus"
"L8","GE","Liguria","Salute","Dbms oracle","Armonia","Dedalus spa"
"L8","GE","Liguria","Salute","Dbms oracle","Armonia","Dedalus spa"
"L8","CR","Lombardia","Salute","Dbms oracle","Armonia","Dedalus s.p.a."
"L8","BG","Lombardia","Salute","Dbms oracle","Armonia","Dedalus s.p.a."
"L7","PG","Umbria","Salute","Oracle","ASCOTWEB","Webred"
"L7","MI","Lombardia","Salute","Sql","ASL Desktop","Core-Mi"
"L34","UD","Friuli Venezia Giulia","Previdenza e assistenza","MySql 5","ASP SERVICES","Arte Informatica Sas di Marco Crescente & C."
"L34","UD","Friuli Venezia Giulia","Altro: gestione magazzino e pasti","MySql 5","ASP Services","Arte Informatica srl"
"L7","BS","Lombardia","Bilancio","DBMS Sql","Asset","Sviluppo interno"
"L7","BI","Piemonte","Salute","Oracle","AssetPlus","GE"
"L7","BI","Piemonte","Salute","Microsoft Sql Server 2008 R2","AssetPlus","GE"
"L8","MI","Lombardia","Salute","Sqlserver","AssetPlus","GE Healtcare"
"L8","MI","Lombardia","Salute","Sql server","AssetPlus","GE Healthcare"
"L7","MI","Lombardia","Salute","Oracle","Assistant RL","Santer Reply"
"L8","MI","Lombardia","Salute","Access","Asssitenza domiciliare","ASL Milano"
"L7","VR","Veneto","Salute","Microsoft access","AssTe Cot","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer Cari","Applicazione Interna"
"L7","VR","Veneto","Salute","Microsoft access","AssTer Evol","Applicazione Interna"
"L7","LU","Toscana","Salute","Dbms oracle","ASTER","Caribel"
"L7","LU","Toscana","Salute","Dbms oracle","ASTER","Caribel"
"L7","PG","Umbria","Salute","Oracle","ASTER","Caribel Programmazione S.r.l."
"L7","CR","Lombardia","Salute","Oracle","Aster","CARIBEL Programmazione Srl - Ospedaletto (PI)"
"L7","TE","Abruzzo","Salute","Oracle 10g","ASTER","Caribel s.r.l."
"L7","TE","Abruzzo","Salute","Oracle 10g","ASTER","Caribel s.r.l."
"L7","TE","Abruzzo","Salute","Oracle 10g","ASTER","Caribel s.r.l."
"L7","PI","Toscana","Salute","Dbms oracle","Aster","Insiel"
"L7","AQ","Abruzzo","Salute","Rdbms oracle","AS.TER.","Caribel"
"L7","LO","Lombardia","Salute","Dbms oracle","ASTER CML","Caribel"
"L8","GE","Liguria","Salute","Sybase","ASTRAIA","ASTRAIA Gmbh"
"L7","TR","Umbria","Salute","Microsoft sql server","Astrim","Astrim SpA"
"L8","CZ","Calabria","Gestione documentale","Oracle","Athena","Noemalife"
"L7","BO","Emilia Romagna","Salute","Dbms oracle","Athena","Noemalife"
"L8","PR","Emilia Romagna","Salute","Oracle","Athena","Noemalife s.p.a."
"L8","MB","Lombardia","Salute","Dbms oracle","Athena","NoemaLife S.p.A. Piazza Duca d’Aosta, 12 20124 Milano – ITALY"
"L7","AL","Piemonte","Salute","Ms-sql","AttiUnici","Italcom"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA PS","Exprivia Spa"
"L7","VR","Veneto","Salute","Microsoft access","AttPsic","Applicazione Interna"
"L8","GE","Liguria","Salute","Dbms oracle","AUDIOLOGIA","Istituto Giannina Gaslini"
"L7","BS","Lombardia","Bilancio","Dbms oracle","Audiovat","GPI s.p.a."
"L8","GE","Liguria","Salute","Dbms oracle","AURORA","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA PS","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA PS","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA PS","Exprivia Spa"
"L8","GE","Liguria","Salute","Dbms oracle","AURORA PS","Exprivia Spa"
"L7","TR","Umbria","Salute","Microsoft sql server","Automa","Umbracontrol"
"L7","MI","Lombardia","Salute","Dbms oracle","Avelco","Avelco WEB Srl"
"L7","BO","Emilia Romagna","Salute","Dbms oracle","Avelcoweb","Avelco"
"L7","MI","Lombardia","Salute","Oracle","Avelco web","Avelco"
"L7","TR","Umbria","Salute","Mysql","Avvisi Contabilità","Systems Technology"
"L7","RM","Lazio","Infrastrutture","Mysql","Bacula","Bacula Systems SA"
"L7","BI","Piemonte","Salute","Oracle","Babele","CSI-Piemonte"
"L8","LO","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","LO","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","VA","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","VA","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","BG","Lombardia","Salute","Dbms oracle","BAC","Softeam S.p.a."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","CR","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","BS","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","PV","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","SO","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","PV","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","LC","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","SO","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","CR","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","MB","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","BS","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","PV","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","PV","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","BG","Lombardia","Salute","Oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","VA","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","MN","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","BG","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","MI","Lombardia","Salute","Oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","CR","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","BS","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MI","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","BS","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","LC","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","MB","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L8","CO","Lombardia","Salute","Dbms oracle","BAC - Base Anagrafe e Codifiche","Regione Lombardia ha dato mandato alla società in-house Lombardia Informatica lo sviluppo e la manutenzione dell'applicativo."
"L7","TO","Piemonte","Altro: specificare : Banca dati a supporto sistema decisionale","ORACLE-SAS","Banca dati decisionale- dati amministrativi e sanitari","Csi"
"L8","BO","Emilia Romagna","Salute","Oracle","Banca dell'osso","Istituto Ortopedico Rizzoli"
"L34","VI","Veneto","Previdenza assistenza","Firebird","Bilancio","Cba informatica s.r.l."
"L34","VI","Veneto","Lavoro","Firebird","Bilancio","Cba informatica s.r.l."
"L34","VR","Veneto","Lavoro","Firebird","BILANCIO DI PREVISIONE","Cba informatica srl"
"L34","VI","Veneto","Lavoro","Firebird","BILANCIO DI PREVISIONE","Cba informatica s.r.l."
"L34","RA","Emilia Romagna","Lavoro","Firebird","BILANCIO DI PREVISIONE","Cba informatica s.r.l."
